Nombre del modelo	K	Horizonte	Mean	Std	Parametros	
LinearRegression	5	2	0.910009	0.003789	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	5	2	0.910009	0.003789	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	5	2	0.910009	0.003789	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	5	2	0.910009	0.003789	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	2	0.905659	0.000913	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	2	0.905659	0.000913	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	2	0.905659	0.000913	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	2	0.905659	0.000913	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	2	0.898350	0.008953	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	2	0.898350	0.008953	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	2	0.898350	0.008953	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	2	0.898350	0.008953	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	2	0.890677	0.006171	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	2	0.890677	0.006171	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	2	0.890677	0.006171	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	2	0.890677	0.006171	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	5	3	0.863675	0.004067	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': False}
LinearRegression	5	3	0.863675	0.004067	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': False}
LinearRegression	5	3	0.863675	0.004067	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': False}
LinearRegression	5	3	0.863675	0.004067	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': False}
LinearRegression	4	3	0.854387	0.010165	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	3	0.854387	0.010165	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	3	0.854387	0.010165	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	3	0.854387	0.010165	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	3	0.843823	0.011491	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	3	0.843823	0.011491	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	3	0.843823	0.011491	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	3	0.843823	0.011491	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	3	0.821155	0.009924	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	3	0.821155	0.009924	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	3	0.821155	0.009924	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	3	0.821155	0.009924	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	5	4	0.812471	0.005133	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	5	4	0.812471	0.005133	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	5	4	0.812471	0.005133	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	5	4	0.812471	0.005133	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	4	0.801744	0.004230	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': False}
LinearRegression	4	4	0.801744	0.004230	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': False}
LinearRegression	4	4	0.801744	0.004230	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': False}
LinearRegression	4	4	0.801744	0.004230	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': False}
LinearRegression	3	4	0.782886	0.011355	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	4	0.782886	0.011355	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	4	0.782886	0.011355	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	4	0.782886	0.011355	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	5	5	0.758796	0.004340	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': False}
LinearRegression	5	5	0.758796	0.004340	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': False}
LinearRegression	5	5	0.758796	0.004340	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': False}
LinearRegression	5	5	0.758796	0.004340	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': False}
LinearRegression	2	4	0.753222	0.013023	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	4	0.753222	0.013023	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	4	0.753222	0.013023	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	4	0.753222	0.013023	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	5	0.742732	0.011468	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	5	0.742732	0.011468	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	5	0.742732	0.011468	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	5	0.742732	0.011468	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	5	0.717252	0.011882	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	5	0.717252	0.011882	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	5	0.717252	0.011882	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	5	0.717252	0.011882	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	5	6	0.710994	0.008554	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	5	6	0.710994	0.008554	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	5	6	0.710994	0.008554	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	5	6	0.710994	0.008554	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	6	0.691243	0.002894	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	6	0.691243	0.002894	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	6	0.691243	0.002894	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	6	0.691243	0.002894	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	5	0.675211	0.014926	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	5	0.675211	0.014926	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	5	0.675211	0.014926	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	5	0.675211	0.014926	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	5	7	0.673672	0.002051	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': False}
LinearRegression	5	7	0.673672	0.002051	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': False}
LinearRegression	5	7	0.673672	0.002051	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': False}
LinearRegression	5	7	0.673672	0.002051	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': False}
LinearRegression	3	6	0.654947	0.023008	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	6	0.654947	0.023008	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	6	0.654947	0.023008	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	6	0.654947	0.023008	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	7	0.645037	0.012901	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	7	0.645037	0.012901	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	7	0.645037	0.012901	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	7	0.645037	0.012901	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	7	0.611564	0.003166	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	7	0.611564	0.003166	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	7	0.611564	0.003166	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	7	0.611564	0.003166	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	6	0.606603	0.011524	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	6	0.606603	0.011524	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	6	0.606603	0.011524	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	6	0.606603	0.011524	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	7	0.545909	0.016615	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	7	0.545909	0.016615	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	7	0.545909	0.016615	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	7	0.545909	0.016615	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
